Area,Rooms,Location,SalePrice
1200,2,Urban,250000
1500,3,Suburban,300000
2000,3,Urban,450000
2500,4,Suburban,400000
1800,2,Rural,200000
3000,4,Urban,600000
1300,2,Suburban,280000
2200,3,Urban,500000
1900,3,Suburban,350000
2800,4,Rural,380000
1600,3,Urban,420000
2400,4,Suburban,480000
1400,2,Rural,220000
3200,5,Urban,700000
2100,3,Suburban,360000
1700,2,Urban,380000
2600,4,Urban,550000
1500,3,Rural,250000
2300,3,Suburban,420000
3100,4,Urban,680000
1400,3,Suburban,310000
2000,3,Rural,280000
2700,4,Urban,620000
1600,2,Urban,340000
2400,4,Suburban,500000
1900,3,Urban,480000
3000,5,Urban,750000
1300,2,Suburban,290000
2200,3,Rural,320000
1800,3,Urban,460000
